rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
166,Mark JacksonNY,2001-2002,PG,82,28.9,8.4,3.2,7.2,43.9,1,2.4,40.5,1.1,1.3,79.1,3.8,7.4,0.9,0,1.8,11,1,0
167,P.J. BrownCHA,2001-2002,PF,80,32,8.4,3.1,6.6,47.4,0,0,0,2.1,2.5,85.8,9.8,1.3,0.7,1,1.1,17,0,0
168,DerMarr JohnsonATL,2001-2002,SF,72,24,8.4,3,7.5,39.6,1.2,3.4,36,1.2,1.5,81,3.4,1.1,0.9,0.8,1.4,2,0,0
169,Jumaine JonesCLE,2001-2002,SF,81,26.4,8.3,3.5,7.9,44.8,0.6,2.1,31,0.6,0.8,66.2,6,1.4,0.9,0.6,1,10,0,0
170,Moochie NorrisHOU,2001-2002,PG,82,27.4,8.1,3.1,7.7,39.8,0.4,1.6,26.9,1.5,2.1,75.1,3,4.9,1,0,1.9,5,0,0
171,Ira NewbleATL,2001-2002,SF,42,30.3,8,3.1,6.3,49.8,0,0.2,14.3,1.8,2.1,85.2,5.3,1.1,0.9,0.5,1.2,2,0,0
172,Tyrone HillCLE,2001-2002,PF,26,31.2,8,2.7,7,39,0,0,0,2.6,4,65,10.5,0.9,0.7,0.5,1.8,9,0,0
173,Eddie HouseMIA,2001-2002,SG,64,19.2,8,3.3,8.2,39.9,0.8,2.5,34.4,0.7,0.8,85.7,1.7,1.9,0.7,0.1,1.3,0,0,0
174,Horace GrantORL,2001-2002,C,76,29.1,8,3.5,6.8,51.3,0,0,0,1.1,1.5,72.1,6.3,1.4,0.8,0.6,0.7,5,0,0
175,Greg AnthonyCHI/MIL,2001-2002,G,60,25.2,7.9,3.1,7.9,38.5,0.8,2.7,29.4,1,1.5,65.9,2.2,4.7,1.3,0.1,1.6,1,0,0
176,Avery JohnsonDAL/DEN,2001-2002,PG,68,19.9,7.9,3,6.4,47.9,0,0.1,0,1.8,2.4,74.2,1,4.2,0.6,0.1,1.1,6,0,0
177,Rick FoxLAL,2001-2002,SF,82,27.9,7.9,3.1,7.4,42.1,0.8,2.5,31.3,0.9,1,82.4,4.7,3.5,0.8,0.3,1.6,1,0,0
178,Travis BestIND/CHI,2001-2002,PG,74,23.6,7.9,3.1,7,44,0.3,0.8,35.6,1.4,1.6,89.7,2,4.4,1.2,0.1,1.3,0,0,0
179,Tyronn LueWSH,2001-2002,PG,71,20.5,7.8,3.1,7.3,42.7,0.9,2,44.7,0.7,0.9,76.2,1.7,3.5,0.7,0,1.4,0,0,0
180,Othella HarringtonNY,2001-2002,PF,77,20.3,7.7,3.1,5.8,52.7,0,0,0,1.6,2.2,70.9,4.5,0.5,0.4,0.5,1.2,2,0,0
181,Chris MihmCLE,2001-2002,C,74,22.4,7.7,3,7.1,42,0,0.1,42.9,1.7,2.4,69.3,5.3,0.3,0.2,1.2,1.3,5,0,0
182,Erick StricklandBOS,2001-2002,PG,79,20.8,7.7,2.4,6.2,38.9,1.2,3.1,38.5,1.7,2,84.5,2.7,2.3,0.7,0,1.2,0,0,0
183,Jerome WilliamsTOR,2001-2002,PF,68,24.1,7.6,2.8,5.7,49,0,0,0,2,3,67.6,5.7,1.1,1.1,0.4,1,6,0,0
184,Ben WallaceDET,2001-2002,PF,80,36.5,7.6,3.2,6,53.1,0,0,0,1.2,2.9,42.3,13,1.4,1.7,3.5,0.9,25,1,0
185,Erick DampierGS,2001-2002,C,73,23.8,7.6,2.9,6.6,43.5,0,0,0,1.9,2.9,64.5,5.3,1.2,0.2,2.3,2.1,5,0,0
186,Chris CrawfordATL,2001-2002,SF,7,18.7,7.6,3,6.4,46.7,0,0.1,0,1.6,2.1,73.3,3.6,0.7,0.3,0.7,1.4,0,0,0
187,Joe JohnsonBOS/PHX,2001-2002,G,77,24.9,7.5,3.3,7.6,43,0.5,1.7,29.2,0.5,0.7,77.4,3.3,2.3,0.8,0.3,0.9,2,0,0
