rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Stephen CurryGS,2015-2016,PG,79,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,5.4,6.7,2.1,0.2,3.3,15,2,31.56
2,James HardenHOU,2015-2016,SG,82,38.1,29,8.7,19.7,43.9,2.9,8,35.9,8.8,10.2,86,6.1,7.5,1.7,0.6,4.6,23,3,25.36
3,Kevin DurantOKC,2015-2016,PF,72,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.6,6.2,6.9,89.8,8.2,5,1,1.2,3.5,27,1,28.25
4,DeMarcus CousinsSAC,2015-2016,C,65,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,11.5,3.3,1.6,1.4,3.8,47,1,23.67
5,LeBron JamesCLE,2015-2016,SF,76,35.6,25.3,9.7,18.6,52,1.1,3.7,30.9,4.7,6.5,73.1,7.4,6.8,1.4,0.6,3.3,28,3,27.64
6,Damian LillardPOR,2015-2016,PG,75,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,4,6.8,0.9,0.4,3.2,15,0,22.25
7,Anthony DavisNO,2015-2016,PF,61,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7,75.8,10.3,1.9,1.3,2,2,36,0,25.1
8,Russell WestbrookOKC,2015-2016,PG,80,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,7.8,10.4,2,0.3,4.3,54,18,27.64
9,DeMar DeRozanTOR,2015-2016,SF,78,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85,4.5,4,1,0.3,2.2,3,0,21.58
10,Paul GeorgeIND,2015-2016,SG,81,34.8,23.1,7.5,17.9,41.8,2.6,7,37.1,5.6,6.5,86,7,4.1,1.9,0.4,3.3,15,0,20.98
11,Isaiah ThomasBOS,2015-2016,G,82,32.2,22.2,7.2,16.9,42.8,2,5.7,35.9,5.8,6.6,87.1,3,6.2,1.1,0.1,2.7,7,0,21.54
12,Klay ThompsonGS,2015-2016,SG,80,33.3,22.1,8.1,17.3,47,3.5,8.1,42.5,2.4,2.8,87.3,3.8,2.1,0.8,0.6,1.7,0,0,18.67
13,Carmelo AnthonyNY,2015-2016,PF,72,35.1,21.8,7.9,18.2,43.4,1.5,4.3,33.9,4.6,5.6,82.9,7.7,4.2,0.9,0.5,2.4,22,0,20.38
14,Blake GriffinLAC,2015-2016,PF,35,33.4,21.4,8.6,17.2,49.9,0.2,0.5,33.3,4,5.5,72.7,8.4,4.9,0.8,0.5,2.4,13,0,22.22
