rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Joel EmbiidPHI,2021-2022,C,68,33.8,30.6,9.8,19.6,49.9,1.4,3.7,37.1,9.6,11.8,81.4,11.7,4.2,1.1,1.5,3.1,46,2,31.24
2,LeBron JamesLAL,2021-2022,SF,56,37.2,30.3,11.4,21.8,52.4,2.9,8,35.9,4.5,6,75.6,8.2,6.2,1.3,1.1,3.5,21,6,26.25
3,Giannis AntetokounmpoMIL,2021-2022,PF,67,32.9,29.9,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,11.6,5.8,1.1,1.4,3.3,46,4,32.12
4,Kevin DurantBKN,2021-2022,PF,55,37.2,29.9,10.5,20.3,51.8,2.1,5.5,38.3,6.8,7.4,91,7.4,6.4,0.9,0.9,3.5,18,4,25.69
5,Luka DoncicDAL,2021-2022,PG,65,35.4,28.4,9.9,21.6,45.7,3.1,8.8,35.3,5.6,7.5,74.4,9.1,8.7,1.2,0.6,4.5,44,10,25.13
6,Trae YoungATL,2021-2022,PG,76,34.9,28.4,9.4,20.3,46,3.1,8,38.2,6.6,7.3,90.4,3.7,9.7,0.9,0.1,4,42,0,25.48
7,DeMar DeRozanCHI,2021-2022,SF,76,36.1,27.9,10.2,20.2,50.4,0.7,1.9,35.2,6.8,7.8,87.7,5.2,4.9,0.9,0.3,2.4,6,0,23.13
8,Kyrie IrvingBKN,2021-2022,PG,29,37.7,27.4,10,21.2,46.9,3.4,8.2,41.8,4.1,4.4,91.5,4.4,5.8,1.4,0.6,2.5,2,0,21.49
9,Ja MorantMEM,2021-2022,PG,57,33.1,27.4,10.2,20.6,49.3,1.5,4.5,34.4,5.5,7.3,76.1,5.7,6.7,1.2,0.4,3.4,10,1,24.53
10,Nikola JokicDEN,2021-2022,C,74,33.5,27.1,10.3,17.7,58.3,1.3,3.9,33.7,5.1,6.3,81,13.8,7.9,1.5,0.9,3.8,66,19,32.94
11,Jayson TatumBOS,2021-2022,SF,76,35.9,26.9,9.3,20.6,45.3,3,8.6,35.3,5.3,6.2,85.3,8,4.4,1,0.6,2.9,22,0,21.87
12,Devin BookerPHX,2021-2022,SG,68,34.5,26.8,9.7,20.9,46.6,2.7,7,38.3,4.6,5.3,86.8,5,4.8,1.1,0.4,2.4,5,0,21.38
13,Donovan MitchellUTAH,2021-2022,SG,67,33.8,25.9,9.2,20.5,44.8,3.5,9.8,35.5,4,4.7,85.3,4.2,5.3,1.5,0.2,3,3,0,21.64
14,Stephen CurryGS,2021-2022,PG,64,34.5,25.5,8.4,19.1,43.7,4.5,11.7,38,4.3,4.7,92.3,5.2,6.3,1.3,0.4,3.2,12,2,21.47
15,Karl-Anthony TownsMIN,2021-2022,C,74,33.4,24.6,8.7,16.4,52.9,2,4.9,41,5.2,6.3,82.2,9.8,3.6,1,1.1,3.1,40,1,24.21
16,Shai Gilgeous-AlexanderOKC,2021-2022,PG,56,34.7,24.5,8.5,18.8,45.3,1.6,5.3,30,5.9,7.2,81,5,5.9,1.3,0.8,2.8,6,1,20.99
17,Zach LaVineCHI,2021-2022,SG,67,34.7,24.4,8.4,17.7,47.6,2.8,7.1,38.9,4.8,5.6,85.3,4.6,4.5,0.6,0.3,2.6,0,0,20.08
18,Paul GeorgeLAC,2021-2022,SG,31,34.7,24.3,8.6,20.5,42.1,2.9,8.3,35.4,4.1,4.8,85.8,6.9,5.7,2.2,0.4,4.1,7,0,18.67
19,Damian LillardPOR,2021-2022,PG,29,36.4,24,7.7,19,40.2,3.2,9.8,32.4,5.5,6.2,87.8,4.1,7.3,0.6,0.4,2.9,8,0,18.53
20,Jaylen BrownBOS,2021-2022,SG,66,33.6,23.6,8.7,18.4,47.3,2.5,7,35.8,3.7,4.8,75.8,6.1,3.5,1.1,0.3,2.7,11,2,18.98
21,Bradley BealWSH,2021-2022,SG,40,36,23.2,8.7,19.3,45.1,1.6,5.3,30,4.2,5.1,83.3,4.7,6.6,0.9,0.4,3.4,4,0,17.58
22,Anthony DavisLAL,2021-2022,PF,40,35.1,23.2,9.3,17.4,53.2,0.3,1.8,18.6,4.4,6.1,71.3,9.9,3.1,1.2,2.3,2.1,19,0,23.97
23,De'Aaron FoxSAC,2021-2022,PG,59,35.3,23.2,8.7,18.5,47.3,1.3,4.2,29.7,4.4,5.9,75,3.9,5.6,1.2,0.4,2.8,5,0,17.49
24,Pascal SiakamTOR,2021-2022,PF,68,37.9,22.8,8.8,17.8,49.4,1.1,3.2,34.4,4.2,5.6,74.9,8.5,5.3,1.3,0.6,2.7,30,2,20.31
25,Brandon IngramNO,2021-2022,SF,55,34,22.7,8.2,17.9,46.1,1.3,4.1,32.7,4.8,5.9,82.6,5.8,5.6,0.6,0.5,2.7,7,0,18.78
26,CJ McCollumPOR/NO,2021-2022,SG,62,34.6,22.1,8.6,18.8,46,2.9,7.6,38.8,1.9,2.7,68.2,4.3,5.1,1.1,0.4,2,3,0,18.41
27,James HardenBKN/PHI,2021-2022,SG,65,37.2,22,6.3,15.3,41,2.3,6.9,33,7.2,8.2,87.7,7.7,10.3,1.3,0.6,4.4,42,11,20.92
28,Darius GarlandCLE,2021-2022,PG,68,35.7,21.7,8,17.3,46.2,2.6,6.7,38.3,3.2,3.5,89.2,3.3,8.6,1.3,0.1,3.6,29,1,19.04
29,Jimmy ButlerMIA,2021-2022,SF,57,33.9,21.4,7,14.5,48,0.5,2,23.3,6.9,8,87,5.9,5.5,1.6,0.5,2.1,12,4,23.65
30,Anthony EdwardsMIN,2021-2022,SG,72,34.3,21.3,7.6,17.3,44.1,3,8.4,35.7,3.1,3.9,78.6,4.8,3.8,1.5,0.6,2.6,4,0,16.55
31,Dejounte MurraySA,2021-2022,SG,68,34.8,21.1,8.4,18.3,46.2,1.4,4.3,32.7,2.9,3.6,79.4,8.3,9.2,2,0.3,2.6,39,13,22.32
32,Tyler HerroMIA,2021-2022,PG,66,32.6,20.7,7.6,17,44.7,2.7,6.7,39.9,2.9,3.3,86.8,5,4,0.7,0.1,2.6,3,0,16.3
