rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Kobe BryantLAL,2006-2007,SF,77,40.8,31.6,10.6,22.8,46.3,1.8,5.2,34.4,8.7,10,86.8,5.7,5.4,1.4,0.5,3.3,10,0,26.13
2,Carmelo AnthonyDEN,2006-2007,PF,65,38.2,28.9,10.6,22.4,47.6,0.6,2.3,26.8,7.1,8.7,80.8,6,3.8,1.2,0.4,3.6,4,1,22.2
3,Gilbert ArenasWSH,2006-2007,PG,74,39.8,28.4,8.7,20.9,41.8,2.8,7.9,35.1,8.2,9.7,84.4,4.6,6,1.9,0.2,3.2,10,0,24.07
4,Dwyane WadeMIA,2006-2007,G,51,37.9,27.4,9.3,18.9,49.1,0.4,1.5,26.6,8.5,10.5,80.7,4.7,7.5,2.1,1.2,4.2,15,0,29.04
5,LeBron JamesCLE,2006-2007,SF,78,40.9,27.3,9.9,20.8,47.6,1.3,4,31.9,6.3,9,69.8,6.7,6,1.6,0.7,3.2,16,1,24.56
6,Michael ReddMIL,2006-2007,SG,53,38.4,26.7,9,19.3,46.5,2.2,5.8,38.2,6.5,7.8,82.9,3.7,2.3,1.2,0.2,2.3,0,0,22.3
7,Ray AllenSEA,2006-2007,SG,55,40.3,26.4,9.2,21,43.8,3,8.1,37.2,5.1,5.6,90.3,4.5,4.1,1.5,0.2,2.8,4,0,21.7
8,Allen IversonDEN/PHI,2006-2007,SG,65,42.5,26.3,8.9,20.2,44.3,1,3,31.5,7.5,9.4,79.5,3,7.2,1.9,0.2,4.1,17,0,19.61
9,Vince CarterNJ,2006-2007,G,82,38.1,25.2,8.9,19.5,45.4,1.9,5.3,35.7,5.6,7,80.2,6,4.8,1,0.4,2.6,13,2,21.86
10,Yao MingHOU,2006-2007,C,48,33.8,25,8.8,17.1,51.6,0,0,0,7.4,8.6,86.2,9.4,2,0.4,2,3.5,20,0,26.54
11,Joe JohnsonATL,2006-2007,G,57,41.4,25,9.4,20,47.1,2.1,5.5,38.1,4.1,5.5,74.8,4.2,4.4,1.1,0.2,3.1,2,0,19.56
12,Paul PierceBOS,2006-2007,SF,47,37,25,7.9,18.1,43.9,2.3,5.9,38.9,6.8,8.6,79.6,5.9,4.1,1,0.3,3.2,5,0,21.73
13,Tracy McGradyHOU,2006-2007,SG,71,35.8,24.6,9,20.8,43.1,1.8,5.4,33.1,4.9,6.9,70.7,5.3,6.5,1.3,0.5,3,15,0,23.28
14,Dirk NowitzkiDAL,2006-2007,F,78,36.2,24.6,8.6,17.2,50.2,0.9,2.2,41.6,6.4,7.1,90.4,8.9,3.4,0.7,0.8,2.1,41,0,27.7
15,Zach RandolphPOR,2006-2007,F,68,35.7,23.6,8.8,18.9,46.7,0.2,0.7,29.2,5.8,7.1,81.9,10.1,2.2,0.8,0.2,3.2,36,0,22.81
16,Chris BoshTOR,2006-2007,PF,69,38.5,22.6,7.9,15.9,49.6,0.2,0.5,34.3,6.7,8.6,78.5,10.7,2.5,0.6,1.3,2.6,42,0,22.72
17,Kevin GarnettMIN,2006-2007,PF,76,39.4,22.4,8.4,17.6,47.6,0.2,0.7,21.4,5.5,6.6,83.5,12.8,4.1,1.2,1.7,2.7,66,3,24.2
18,Rashard LewisSEA,2006-2007,PF,60,39.1,22.4,7.7,16.8,46.1,2.5,6.5,39,4.4,5.3,84.1,6.6,2.4,1.1,0.7,2,13,0,20.78
19,Ben GordonCHI,2006-2007,SG,82,33,21.4,7.4,16.3,45.5,1.9,4.6,41.3,4.6,5.4,86.4,3.1,3.6,0.8,0.2,3,0,0,18.31
20,Carlos BoozerUTAH,2006-2007,PF,74,34.6,20.9,8.7,15.6,56.1,0,0,0,3.4,5,68.5,11.7,3,0.9,0.3,2.6,53,0,24.11
21,Pau GasolMEM,2006-2007,PF,59,36.2,20.8,7.8,14.5,53.8,0.1,0.2,27.3,5.1,6.8,74.8,9.8,3.4,0.5,2.1,2.7,33,1,24.22
22,Elton BrandLAC,2006-2007,PF,80,38.5,20.5,8.1,15.1,53.3,0,0,100,4.4,5.8,76.1,9.3,2.9,1,2.2,2.5,38,0,23.17
23,Amar'e StoudemirePHX,2006-2007,C,82,32.8,20.4,7.4,12.9,57.5,0,0,0,5.6,7.1,78.1,9.6,1,1,1.3,2.8,46,0,23.15
24,Kevin MartinSAC,2006-2007,SG,80,35.2,20.2,6.3,13.3,47.3,1.6,4.2,38.1,6,7.1,84.4,4.3,2.2,1.2,0.1,1.7,2,0,20.12
25,Baron DavisGS,2006-2007,PG,63,35.3,20.1,7.2,16.3,43.9,1.3,4.4,30.4,4.4,5.9,74.5,4.4,8.1,2.1,0.5,3.1,20,1,21.02
26,Tim DuncanSA,2006-2007,C,80,34.1,20,7.7,14.1,54.6,0,0.1,11.1,4.5,7.1,63.7,10.6,3.4,0.8,2.4,2.8,45,0,26.2
27,Antawn JamisonWSH,2006-2007,PF,70,38,19.8,7.3,16.3,45,2,5.4,36.4,3.2,4.4,73.6,8,1.9,1.1,0.5,1.5,22,0,18.5
28,Richard HamiltonDET,2006-2007,SG,75,36.8,19.8,7.3,15.6,46.8,0.6,1.7,34.1,4.6,5.4,86.1,3.8,3.8,0.8,0.2,2.1,2,0,18.21
29,Eddy CurryNY,2006-2007,NA,81,35.2,19.5,7.2,12.5,57.6,0,0,100,5,8.1,61.5,7,0.8,0.4,0.5,3.6,18,0,17.07
30,Jermaine O'NealIND,2006-2007,C,69,35.6,19.4,7.2,16.5,43.6,0,0.1,0,5,6.5,76.7,9.6,2.4,0.7,2.6,2.9,34,0,18.86
31,Caron ButlerWSH,2006-2007,SF,63,39.3,19.1,7.2,15.5,46.3,0.3,1.1,25,4.5,5.2,86.3,7.4,3.7,2.1,0.3,2.9,21,0,18.41
32,Josh HowardDAL,2006-2007,SF,70,35.1,18.9,7,15.4,45.9,1.3,3.4,38.5,3.5,4.2,82.7,6.8,1.8,1.2,0.8,1.8,13,0,20.02
33,Metta World PeaceSAC,2006-2007,SF,70,37.7,18.8,6.5,14.9,44,1.3,3.7,35.8,4.4,5.9,74,6.5,3.4,2.1,0.6,2.1,11,0,18.59
