rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Carmelo AnthonyNY,2012-2013,PF,67,37,28.7,10,22.2,44.9,2.3,6.2,37.9,6.3,7.6,83,6.9,2.6,0.8,0.5,2.6,10,0,24.83
2,Kevin DurantOKC,2012-2013,PF,81,38.5,28.1,9,17.7,51,1.7,4.1,41.6,8.4,9.3,90.5,7.9,4.6,1.4,1.3,3.5,19,3,28.35
3,Kobe BryantLAL,2012-2013,SF,78,38.6,27.3,9.5,20.4,46.3,1.7,5.2,32.4,6.7,8,83.9,5.6,6,1.4,0.3,3.7,16,2,23.1
4,LeBron JamesMIA,2012-2013,SF,76,37.9,26.8,10.1,17.8,56.5,1.4,3.3,40.6,5.3,7,75.3,8,7.3,1.7,0.9,3,36,4,31.67
5,James HardenHOU,2012-2013,SG,78,38.3,25.9,7.5,17.1,43.8,2.3,6.2,36.8,8.6,10.2,85.1,4.9,5.8,1.8,0.5,3.8,9,1,23
6,Russell WestbrookOKC,2012-2013,PG,82,34.9,23.2,8.2,18.7,43.8,1.2,3.7,32.3,5.6,7,80,5.2,7.4,1.8,0.3,3.3,23,1,23.98
7,Stephen CurryGS,2012-2013,PG,78,38.2,22.9,8,17.8,45.1,3.5,7.7,45.3,3.4,3.7,90,4,6.9,1.6,0.2,3.1,15,0,21.34
8,Kyrie IrvingCLE,2012-2013,PG,59,34.7,22.5,8.2,18.1,45.2,1.8,4.7,39.1,4.2,4.9,85.5,3.7,5.9,1.5,0.4,3.2,4,0,21.51
9,Dwyane WadeMIA,2012-2013,G,69,34.7,21.2,8.2,15.8,52.1,0.2,1,25.8,4.5,6.2,72.5,5,5.1,1.9,0.8,2.8,4,0,24.04
10,LaMarcus AldridgePOR,2012-2013,C,74,37.7,21.1,8.6,17.8,48.4,0,0.2,14.3,3.8,4.7,81,9.1,2.6,0.8,1.2,1.9,38,0,20.45
11,Tony ParkerSA,2012-2013,G,66,32.9,20.3,7.9,15.1,52.2,0.4,1,35.3,4.2,5,84.5,3,7.6,0.8,0.1,2.6,17,1,23.1
12,Brook LopezBKN,2012-2013,C,74,30.4,19.4,7.7,14.8,52.1,0,0,0,4,5.3,75.8,6.9,0.9,0.4,2.1,1.8,12,0,24.81
13,Monta EllisMIL,2012-2013,SG,82,37.5,19.2,7.3,17.5,41.6,1.1,4,28.7,3.5,4.6,77.3,3.9,6,2.1,0.4,3.1,9,0,16.3
14,Damian LillardPOR,2012-2013,PG,82,38.6,19,6.7,15.7,42.9,2.3,6.1,36.8,3.3,3.9,84.4,3.1,6.5,0.9,0.2,3,7,0,16.45
15,Deron WilliamsBKN,2012-2013,PG,78,36.4,18.9,6.3,14.4,44,2.2,5.7,37.8,4.1,4.7,85.9,3,7.7,1,0.4,2.8,21,0,20.38
16,Paul PierceBOS,2012-2013,SF,77,33.4,18.6,6.2,14.2,43.6,1.9,5,38,4.3,5.5,78.7,6.3,4.8,1.1,0.4,2.8,12,3,19.14
17,John WallWSH,2012-2013,PG,49,32.7,18.5,6.6,15,44.1,0.2,0.9,26.7,5,6.2,80.4,4,7.6,1.3,0.8,3.2,14,0,20.91
18,David LeeGS,2012-2013,PF,79,36.8,18.5,7.6,14.7,51.9,0,0.1,0,3.2,4.1,79.7,11.2,3.5,0.8,0.3,2.6,56,1,19.23
19,Kevin LoveMIN,2012-2013,PF,18,34.3,18.3,5.8,16.6,35.2,1.1,5.1,21.7,5.6,7.9,70.4,14,2.3,0.7,0.5,2.2,14,0,17.97
20,Rudy GayTOR/MEM,2012-2013,SF,75,35.8,18.2,6.9,16.7,41.6,1.1,3.5,32.3,3.2,3.9,81.4,6.1,2.7,1.5,0.7,2.6,6,0,15.66
21,DeMar DeRozanTOR,2012-2013,SF,82,36.7,18.1,6.7,15,44.5,0.4,1.5,28.3,4.3,5.2,83.1,3.9,2.5,0.9,0.3,1.8,0,0,14.81
22,JR SmithNY,2012-2013,G,80,33.5,18.1,6.6,15.6,42.2,1.9,5.5,35.6,3,3.9,76.2,5.3,2.7,1.3,0.3,1.7,8,0,17.67
23,Blake GriffinLAC,2012-2013,PF,80,32.5,18,7.2,13.4,53.8,0.1,0.4,17.9,3.5,5.3,66,8.3,3.7,1.2,0.6,2.3,28,1,22.44
24,Al JeffersonUTAH,2012-2013,C,78,33.1,17.8,7.8,15.8,49.4,0,0.2,11.8,2.1,2.8,77,9.2,2.1,1,1.1,1.3,37,0,20.99
25,Tim DuncanSA,2012-2013,C,69,30.1,17.8,7.1,14.1,50.2,0,0.1,28.6,3.6,4.3,81.7,9.9,2.7,0.7,2.7,2.1,36,0,24.45
26,Kemba WalkerCHA,2012-2013,PG,82,34.9,17.7,6.4,15.2,42.3,1.3,4,32.2,3.6,4.5,79.8,3.5,5.7,2,0.4,2.4,5,0,18.86
27,Jrue HolidayPHI,2012-2013,PG,78,37.5,17.7,7.1,16.5,43.1,1.2,3.2,36.8,2.3,3.1,75.2,4.2,8,1.6,0.4,3.7,20,1,16.74
28,Brandon JenningsMIL,2012-2013,G,80,36.2,17.5,6.2,15.6,39.9,2.2,5.8,37.5,2.9,3.5,81.9,3.1,6.5,1.6,0.1,2.5,13,0,16.2
29,Josh SmithATL,2012-2013,PF,76,35.3,17.5,7.2,15.6,46.5,0.8,2.6,30.3,2.2,4.2,51.7,8.4,4.2,1.2,1.8,3,29,0,17.82
30,Paul GeorgeIND,2012-2013,SG,79,37.6,17.4,6.2,14.9,41.9,2.2,5.9,36.2,2.8,3.5,80.7,7.6,4.1,1.8,0.6,2.9,23,1,16.84
31,Al HorfordATL,2012-2013,C,74,37.2,17.4,7.8,14.3,54.3,0,0.1,50,1.8,2.8,64.4,10.2,3.2,1.1,1.1,2,43,0,19.84
32,Dirk NowitzkiDAL,2012-2013,F,53,31.3,17.3,6.5,13.7,47.1,1.2,3,41.4,3.1,3.6,86,6.8,2.5,0.7,0.7,1.3,6,0,19.88
33,David WestIND,2012-2013,F,73,33.4,17.1,6.9,13.8,49.8,0.1,0.3,21.1,3.3,4.3,76.8,7.7,2.9,1,0.9,2.2,16,1,20.15
34,DeMarcus CousinsSAC,2012-2013,C,75,30.5,17.1,6.4,13.8,46.5,0.1,0.3,18.2,4.2,5.6,73.8,9.9,2.7,1.4,0.7,3,35,1,20.21
35,Dwight HowardLAL,2012-2013,C,76,35.8,17.1,6.2,10.7,57.8,0,0.1,16.7,4.7,9.5,49.2,12.4,1.4,1.1,2.4,3,48,0,19.48
36,Eric GordonNO,2012-2013,SG,42,30.1,17,5.6,13.9,40.2,1.3,4.1,32.4,4.5,5.3,84.2,1.8,3.3,1.1,0.2,2.8,0,0,15.43
37,Chris PaulLAC,2012-2013,PG,70,33.4,16.9,5.9,12.2,48.1,1.1,3.3,32.8,4.1,4.6,88.5,3.7,9.7,2.4,0.1,2.3,31,0,26.43
38,Ty LawsonDEN,2012-2013,G,73,34.4,16.7,6.1,13.3,46.1,1.2,3.2,36.6,3.2,4.3,75.6,2.7,6.9,1.5,0.1,2.5,9,0,17.96
39,Chris BoshMIA,2012-2013,PF,74,33.2,16.6,6.6,12.3,53.5,0.3,1,28.4,3.3,4.1,79.8,6.8,1.7,0.9,1.4,1.7,15,0,20.08
40,Klay ThompsonGS,2012-2013,SG,82,35.8,16.6,6.2,14.7,42.2,2.6,6.4,40.1,1.6,1.9,84.1,3.7,2.2,1,0.5,1.9,0,0,12.71
41,Arron AfflaloORL,2012-2013,G,64,36,16.5,6.2,14.1,43.9,1.1,3.8,30,3,3.5,85.7,3.7,3.2,0.6,0.2,2.2,0,0,13.02
42,Jamal CrawfordLAC,2012-2013,G,76,29.3,16.5,5.9,13.4,43.8,2,5.2,37.6,2.8,3.3,87.1,1.7,2.5,1,0.2,1.9,0,0,16.89
43,Luol DengCHI,2012-2013,F,75,38.7,16.5,6.2,14.6,42.6,1,3.1,32.2,3.1,3.8,81.6,6.3,3,1.1,0.4,1.9,9,0,15.12
44,Nikola PekovicMIN,2012-2013,C,62,31.6,16.3,6.2,12,52,0,0,0,3.9,5.2,74.4,8.8,0.9,0.7,0.8,1.6,26,0,20.26
45,Joe JohnsonBKN,2012-2013,G,72,36.7,16.3,6.2,14.6,42.3,2.1,5.5,37.5,1.8,2.2,82,3,3.5,0.7,0.2,1.7,0,0,14.14
46,Carlos BoozerCHI,2012-2013,PF,79,32.2,16.2,6.9,14.4,47.7,0,0,0,2.4,3.3,73.1,9.8,2.3,0.8,0.4,2.2,44,0,17.17
47,Danilo GallinariDEN,2012-2013,PF,71,32.5,16.2,5.1,12.3,41.8,1.9,5.1,37.3,4,4.9,82.2,5.2,2.5,0.9,0.5,1.6,2,0,16.73
48,Ryan AndersonNO,2012-2013,PF,81,30.9,16.2,5.8,13.8,42.3,2.6,6.9,38.2,1.9,2.2,84.4,6.4,1.2,0.5,0.4,1.2,11,0,18.17
