rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Kevin DurantOKC,2010-2011,PF,78,38.9,27.7,9.1,19.7,46.2,1.9,5.3,35,7.6,8.7,88,6.8,2.7,1.1,1,2.8,14,0,23.7
2,LeBron JamesMIA,2010-2011,SF,79,38.8,26.7,9.6,18.8,51,1.2,3.5,33,6.4,8.4,75.9,7.5,7,1.6,0.6,3.6,31,4,27.34
3,Carmelo AnthonyDEN/NY,2010-2011,PF,77,35.7,25.6,8.9,19.5,45.5,1.2,3.3,37.8,6.6,7.9,83.8,7.3,2.9,0.9,0.6,2.7,18,0,21.82
4,Dwyane WadeMIA,2010-2011,G,76,37.1,25.5,9.1,18.2,50,0.8,2.7,30.6,6.5,8.6,75.8,6.4,4.6,1.5,1.1,3.1,10,1,25.65
5,Kobe BryantLAL,2010-2011,SF,82,33.9,25.3,9,20,45.1,1.4,4.3,32.3,5.9,7.1,82.8,5.1,4.7,1.2,0.1,3,9,1,23.94
6,Amar'e StoudemireNY,2010-2011,C,78,36.8,25.3,9.5,19,50.2,0.1,0.3,43.5,6.1,7.7,79.2,8.2,2.6,0.9,1.9,3.2,26,0,22.78
7,Derrick RoseCHI,2010-2011,PG,81,37.4,25,8.8,19.7,44.5,1.6,4.8,33.2,5.9,6.9,85.8,4.1,7.7,1,0.6,3.4,23,1,23.62
8,Monta EllisGS,2010-2011,SG,80,40.3,24.1,9.1,20.1,45.1,1.7,4.7,36.1,4.3,5.4,78.9,3.5,5.6,2.1,0.3,3.2,10,0,18.69
9,Kevin MartinHOU,2010-2011,SG,80,32.5,23.5,6.9,15.8,43.6,2.2,5.7,38.3,7.4,8.4,88.8,3.2,2.5,1,0.2,2.3,0,0,21.46
10,Dirk NowitzkiDAL,2010-2011,F,73,34.3,23,8.4,16.2,51.7,0.9,2.3,39.3,5.4,6.1,89.2,7,2.6,0.5,0.6,1.9,16,0,23.52
