rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,LeBron JamesCLE,2007-2008,SF,75,40.4,30,10.6,21.9,48.4,1.5,4.8,31.5,7.3,10.3,71.2,7.9,7.2,1.8,1.1,3.4,31,7,29.15
2,Kobe BryantLAL,2007-2008,SF,82,38.9,28.3,9.5,20.6,45.9,1.8,5.1,36.1,7.6,9,84,6.3,5.4,1.8,0.5,3.1,20,0,24.09
3,Allen IversonDEN,2007-2008,SG,82,41.8,26.4,8.7,19,45.8,1.2,3.4,34.5,7.9,9.7,80.9,3,7.1,2,0.1,3,15,0,21.06
4,Carmelo AnthonyDEN,2007-2008,PF,77,36.4,25.7,9.5,19.2,49.2,0.8,2.1,35.4,6,7.7,78.6,7.4,3.4,1.3,0.5,3.3,22,0,21.29
5,Amar'e StoudemirePHX,2007-2008,C,79,33.9,25.2,9,15.3,59,0.1,0.4,16.1,7,8.7,80.5,9.1,1.5,0.8,2.1,2.2,36,0,27.29
6,Dwyane WadeMIA,2007-2008,G,51,38.3,24.6,8.6,18.4,46.9,0.4,1.5,28.6,6.9,9.2,75.8,4.2,6.9,1.7,0.7,4.4,9,0,21.71
7,Kevin MartinSAC,2007-2008,SG,61,36.3,23.7,6.8,15,45.6,1.8,4.4,40.2,8.2,9.5,86.9,4.5,2.1,1,0.1,2.1,2,0,21.51
8,Dirk NowitzkiDAL,2007-2008,F,77,36,23.6,8.2,17.1,47.9,1,2.9,35.9,6.2,7.1,87.9,8.6,3.5,0.7,0.9,2.1,25,1,24.78
9,Michael ReddMIL,2007-2008,SG,72,37.5,22.7,7.6,17.3,44.2,1.8,5,36.2,5.6,6.8,82,4.3,3.4,0.9,0.2,2.5,2,0,19.09
10,Richard JeffersonNJ,2007-2008,F,82,39,22.6,7.5,16.2,46.6,0.9,2.6,36.2,6.6,8.3,79.8,4.2,3.1,0.9,0.3,2.4,2,0,17.53
11,Chris BoshTOR,2007-2008,PF,67,36.2,22.3,7.6,15.3,49.4,0.1,0.4,40,7,8.3,84.4,8.7,2.6,0.9,1,2.3,28,0,24.23
12,Corey MaggetteLAC,2007-2008,SF,70,35.7,22.1,6.5,14.3,45.8,1.1,2.9,38.4,7.9,9.7,81.2,5.6,2.7,1,0.1,2.8,6,0,19.14
13,Yao MingHOU,2007-2008,C,55,37.2,22,7.9,15.5,50.7,0,0,0,6.3,7.4,85,10.8,2.3,0.5,2,3.3,33,0,22.55
14,Baron DavisGS,2007-2008,PG,82,39,21.8,7.9,18.6,42.6,2.1,6.4,33,3.9,5.2,75,4.7,7.6,2.3,0.5,2.8,18,3,19.85
