rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Dwyane WadeMIA,2008-2009,G,79,38.6,30.2,10.8,22,49.1,1.1,3.5,31.7,7.5,9.8,76.5,5,7.5,2.2,1.3,3.4,20,0,30.46
2,LeBron JamesCLE,2008-2009,SF,81,37.7,28.4,9.7,19.9,48.9,1.6,4.7,34.4,7.3,9.4,78,7.6,7.2,1.7,1.1,3,29,7,31.76
3,Kobe BryantLAL,2008-2009,SF,82,36.1,26.8,9.8,20.9,46.7,1.4,4.1,35.1,5.9,6.9,85.6,5.2,4.9,1.5,0.5,2.6,8,2,24.46
4,Dirk NowitzkiDAL,2008-2009,F,81,37.7,25.9,9.6,20,47.9,0.8,2.1,35.9,6,6.7,89,8.4,2.4,0.8,0.8,1.9,26,0,23.2
5,Danny GrangerIND,2008-2009,SF,67,36.2,25.8,8.5,19.1,44.7,2.7,6.7,40.4,6,6.9,87.8,5.1,2.7,1,1.4,2.5,6,0,21.88
6,Kevin DurantOKC,2008-2009,PF,74,39,25.3,8.9,18.8,47.6,1.3,3.1,42.2,6.1,7.1,86.3,6.5,2.8,1.3,0.7,3,15,0,20.85
7,Kevin MartinSAC,2008-2009,SG,51,38.2,24.6,6.7,15.9,42,2.3,5.4,41.5,9,10.3,86.7,3.6,2.7,1.2,0.2,2.9,1,0,19.25
8,Al JeffersonMIN,2008-2009,C,50,36.7,23.1,9.7,19.5,49.7,0,0.1,0,3.7,5,73.8,11,1.6,0.8,1.7,1.8,30,0,23.16
9,Chris PaulNO,2008-2009,PG,78,38.5,22.8,8.1,16.1,50.3,0.8,2.3,36.4,5.8,6.7,86.8,5.5,11,2.8,0.1,3,50,6,30.04
10,Carmelo AnthonyDEN,2008-2009,PF,66,34.5,22.8,8.1,18.3,44.3,1,2.6,37.1,5.6,7.1,79.3,6.8,3.4,1.1,0.4,3,12,0,19.09
11,Chris BoshTOR,2008-2009,PF,77,38,22.7,8,16.4,48.7,0.2,0.6,24.5,6.5,8,81.7,10,2.5,0.9,1,2.3,43,0,22.19
12,Brandon RoyPOR,2008-2009,SG,78,37.2,22.6,8.1,16.9,48,1.1,2.8,37.7,5.3,6.5,82.4,4.7,5.1,1.1,0.3,1.9,3,0,24.08
13,Antawn JamisonWSH,2008-2009,PF,81,38.2,22.2,8.3,17.8,46.8,1.4,3.9,35.1,4.2,5.6,75.4,8.9,1.9,1.2,0.3,1.5,38,0,20.63
14,Tony ParkerSA,2008-2009,G,72,34.1,22,8.9,17.5,50.6,0.3,0.9,29.2,3.9,5,78.2,3.1,6.9,0.9,0.1,2.6,15,0,23.47
15,Amar'e StoudemirePHX,2008-2009,C,53,36.8,21.4,7.6,14.1,53.9,0.1,0.1,42.9,6.1,7.3,83.5,8.1,2,0.9,1.1,2.8,16,0,20.39
16,Joe JohnsonATL,2008-2009,G,79,39.5,21.4,7.8,18,43.7,1.9,5.2,36,3.8,4.6,82.6,4.4,5.8,1.1,0.2,2.5,4,1,18.26
17,Devin HarrisNJ,2008-2009,G,69,36.1,21.3,6.6,15.1,43.8,0.9,3.2,29.1,7.2,8.8,82,3.3,6.9,1.7,0.2,3.1,16,0,21.65
18,Michael ReddMIL,2008-2009,SG,33,36.5,21.2,7.5,16.6,45.5,2.1,5.8,36.6,4,4.9,81.4,3.2,2.7,1.1,0.1,1.6,1,0,17.97
19,David WestNO,2008-2009,F,76,39.2,21,8,17,47.2,0.1,0.3,24,4.8,5.5,88.4,8.5,2.3,0.6,0.9,2.1,29,0,19
20,Zach RandolphLAC/NY,2008-2009,F,50,35.1,20.8,8.3,17.5,47.5,0.6,1.9,33,3.6,4.9,73.4,10.1,2.1,0.9,0.3,2.3,29,0,19.72
