rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Tracy McGradyORL,2002-2003,SG,75,39.4,32.1,11.1,24.2,45.7,2.3,6,38.6,7.7,9.7,79.3,6.5,5.5,1.7,0.8,2.6,19,1,31.01
2,Kobe BryantLAL,2002-2003,SF,82,41.5,30,10.6,23.5,45.1,1.5,4,38.3,7.3,8.7,84.3,6.9,5.9,2.2,0.8,3.5,23,5,27.07
3,Allen IversonPHI,2002-2003,SG,82,42.5,27.6,9.8,23.7,41.4,1,3.7,27.7,7,9,77.4,4.2,5.5,2.7,0.2,3.5,6,0,22.14
4,Shaquille O'NealLAL,2002-2003,C,67,37.8,27.5,10.4,18.1,57.4,0,0,0,6.7,10.8,62.2,11.1,3.1,0.6,2.4,2.9,46,0,29.43
5,Paul PierceBOS,2002-2003,SF,79,39.2,25.9,8.4,20.2,41.6,1.5,4.9,30.2,7.6,9.5,80.2,7.3,4.4,1.8,0.8,3.6,20,1,23.49
6,Dirk NowitzkiDAL,2002-2003,F,80,39,25.1,8.6,18.6,46.3,1.9,4.9,37.9,6,6.9,88.1,9.9,3,1.4,1,1.9,41,0,25.94
7,Tim DuncanSA,2002-2003,C,81,39.3,23.3,8.8,17.2,51.3,0.1,0.3,27.3,5.6,7.8,71,12.9,3.9,0.7,2.9,3.1,58,1,26.46
8,Chris WebberSAC,2002-2003,C,67,39.1,23,9.9,21.4,46.1,0.1,0.3,23.8,3.2,5.3,60.7,10.5,5.4,1.6,1.3,3.2,45,3,21.48
9,Kevin GarnettMIN,2002-2003,PF,82,40.5,23,9.1,18.1,50.2,0.2,0.9,28.2,4.6,6.1,75.1,13.4,6,1.4,1.6,2.8,68,6,26.46
10,Ray AllenSEA/MIL,2002-2003,SG,76,37.9,22.5,7.9,17.9,43.9,2.6,7,37.7,4.2,4.5,91.6,5,4.4,1.4,0.2,2.6,3,1,22.19
