rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Russell WestbrookOKC,2014-2015,PG,67,34.4,28.1,9.4,22,42.6,1.3,4.3,29.9,8.1,9.8,83.5,7.3,8.6,2.1,0.2,4.4,31,11,29.12
2,James HardenHOU,2014-2015,SG,81,36.8,27.4,8,18.1,44,2.6,6.9,37.5,8.8,10.2,86.8,5.7,7,1.9,0.7,4,21,4,26.76
3,Kevin DurantOKC,2014-2015,PF,27,33.8,25.4,8.8,17.3,51,2.4,5.9,40.3,5.4,6.3,85.4,6.6,4.1,0.9,0.9,2.7,5,0,27.65
4,LeBron JamesCLE,2014-2015,SF,69,36.1,25.3,9,18.5,48.8,1.7,4.9,35.4,5.4,7.7,71,6,7.4,1.6,0.7,3.9,22,2,26.01
5,Anthony DavisNO,2014-2015,PF,68,36.1,24.4,9.4,17.6,53.5,0,0.2,8.3,5.5,6.8,80.5,10.2,2.2,1.5,2.9,1.4,42,0,30.89
6,Carmelo AnthonyNY,2014-2015,PF,40,35.7,24.2,9,20.2,44.4,1.5,4.5,34.1,4.7,5.9,79.7,6.6,3.1,1,0.4,2.2,5,0,21.58
7,DeMarcus CousinsSAC,2014-2015,C,59,34.1,24.1,8.4,18.1,46.7,0,0.1,25,7.2,9.2,78.2,12.7,3.6,1.5,1.7,4.3,47,2,25.29
8,Stephen CurryGS,2014-2015,PG,80,32.7,23.8,8.2,16.8,48.7,3.6,8.1,44.3,3.9,4.2,91.4,4.3,7.7,2,0.2,3.1,23,0,28.06
9,LaMarcus AldridgePOR,2014-2015,C,71,35.4,23.4,9.3,19.9,46.6,0.5,1.5,35.2,4.3,5.1,84.5,10.2,1.7,0.7,1,1.7,39,0,22.85
10,Kobe BryantLAL,2014-2015,SF,35,34.5,22.3,7.6,20.4,37.3,1.5,5.3,29.3,5.6,6.9,81.3,5.7,5.6,1.3,0.2,3.7,4,2,17.69
11,Blake GriffinLAC,2014-2015,PF,67,35.2,21.9,8.6,17.1,50.2,0.1,0.4,40,4.6,6.4,72.8,7.6,5.3,0.9,0.5,2.3,18,0,22.86
12,Kyrie IrvingCLE,2014-2015,PG,75,36.4,21.7,7.7,16.5,46.8,2.1,5,41.5,4.2,4.9,86.3,3.2,5.2,1.5,0.3,2.5,6,0,21.57
13,Klay ThompsonGS,2014-2015,SG,77,31.9,21.7,7.8,16.9,46.3,3.1,7.1,43.9,2.9,3.3,87.9,3.2,2.9,1.1,0.8,1.9,1,0,20.86
14,Dwyane WadeMIA,2014-2015,G,62,31.8,21.5,8.2,17.5,47,0.5,1.6,28.4,4.6,6,76.8,3.5,4.8,1.2,0.3,3.4,3,0,21.44
15,Chris BoshMIA,2014-2015,PF,44,35.4,21.1,7.8,16.9,46,1.4,3.8,37.5,4.1,5.3,77.2,7,2.2,0.9,0.6,2.2,7,0,19.87
16,Rudy GaySAC,2014-2015,SF,68,35.4,21.1,7.5,16.4,45.5,1.2,3.2,35.9,5,5.8,85.8,5.9,3.7,1,0.6,2.7,2,0,19.76
17,Damian LillardPOR,2014-2015,PG,82,35.7,21,7.2,16.6,43.4,2.4,7,34.3,4.2,4.9,86.4,4.6,6.2,1.2,0.3,2.7,6,0,20.79
18,DeMar DeRozanTOR,2014-2015,SF,60,35,20.1,6.8,16.5,41.3,0.4,1.5,28.4,6,7.2,83.2,4.6,3.5,1.2,0.2,2.3,4,0,17.46
