rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Kevin DurantOKC,2009-2010,PF,82,39.5,30.1,9.7,20.3,47.6,1.6,4.3,36.5,9.2,10.2,90,7.6,2.8,1.4,1,3.3,25,0,26.23
2,LeBron JamesCLE,2009-2010,SF,76,39,29.7,10.1,20.1,50.3,1.7,5.1,33.3,7.8,10.2,76.7,7.3,8.6,1.6,1,3.4,31,4,31.19
3,Carmelo AnthonyDEN,2009-2010,PF,69,38.2,28.2,10,21.8,45.8,0.9,2.7,31.6,7.4,8.9,83,6.6,3.2,1.3,0.4,3,10,0,22.29
4,Kobe BryantLAL,2009-2010,SF,73,38.8,27,9.8,21.5,45.6,1.4,4.1,32.9,6,7.4,81.1,5.4,5,1.5,0.3,3.2,7,0,21.95
5,Dwyane WadeMIA,2009-2010,G,77,36.3,26.6,9.3,19.6,47.6,0.9,3.2,30,6.9,9.1,76.1,4.8,6.5,1.8,1.1,3.3,17,0,28.1
6,Monta EllisGS,2009-2010,SG,64,41.4,25.5,9.9,22,44.9,1.2,3.6,33.8,4.6,6.1,75.3,4,5.3,2.2,0.4,3.8,6,0,16.74
7,Dirk NowitzkiDAL,2009-2010,F,81,37.5,25,8.9,18.5,48.1,0.6,1.5,42.1,6.6,7.2,91.5,7.7,2.7,0.9,1,1.8,19,1,23.01
8,Danny GrangerIND,2009-2010,SF,62,36.7,24.1,7.9,18.4,42.8,2.5,7.1,36.1,5.9,6.9,84.8,5.5,2.8,1.5,0.8,2.5,3,0,19.85
9,Chris BoshTOR,2009-2010,PF,70,36.1,24,8.6,16.5,51.8,0.1,0.3,36.4,6.7,8.4,79.7,10.8,2.4,0.6,1,2.4,49,0,25.11
10,Amar'e StoudemirePHX,2009-2010,C,82,34.6,23.1,8.6,15.4,55.7,0,0.1,16.7,5.9,7.7,77.1,8.9,1,0.6,1,2.6,31,0,22.69
11,Gilbert ArenasWSH,2009-2010,PG,32,36.5,22.6,7.9,19.3,41.1,2,5.7,34.8,4.8,6.5,73.9,4.2,7.2,1.3,0.3,3.7,5,1,18.76
12,Brandon RoyPOR,2009-2010,SG,65,37.2,21.5,7.6,16,47.3,1.1,3.4,33,5.3,6.8,78,4.4,4.7,0.9,0.2,2,1,0,21.36
13,Joe JohnsonATL,2009-2010,G,76,38,21.3,8.4,18.2,45.8,1.7,4.6,36.9,2.9,3.5,81.8,4.6,4.9,1.1,0.1,1.9,4,0,19.33
14,Derrick RoseCHI,2009-2010,PG,78,36.8,20.8,8.6,17.6,48.9,0.2,0.8,26.7,3.3,4.3,76.6,3.8,6,0.7,0.3,2.8,6,0,18.69
15,Zach RandolphMEM,2009-2010,F,81,37.7,20.8,8,16.5,48.8,0.2,0.6,28.8,4.5,5.7,77.8,11.7,1.8,1,0.4,2.1,57,0,21.21
16,Stephen JacksonGS/CHA,2009-2010,SF,81,38.6,20.6,7.4,17.5,42.3,1.6,4.9,32.8,4.2,5.4,77.9,5,3.7,1.6,0.5,3.2,3,0,15.69
17,Kevin MartinSAC/HOU,2009-2010,SG,46,35.5,20.6,6.3,15.1,41.7,1.5,4.6,33.3,6.5,7.4,87.6,3.6,2.4,1,0.1,2,1,0,17.08
18,David LeeNY,2009-2010,PF,81,37.3,20.2,8.5,15.5,54.5,0,0.1,0,3.3,4.1,81.2,11.7,3.6,1,0.5,2.3,53,1,22.28
19,Tyreke EvansSAC,2009-2010,G,72,37.2,20.1,7.4,16.2,45.8,0.5,2,25.5,4.8,6.5,74.8,5.3,5.8,1.5,0.4,3,13,1,18.28
20,Corey MaggetteGS,2009-2010,SF,70,29.7,19.8,6.5,12.7,51.6,0.2,0.7,26,6.6,7.9,83.5,5.3,2.5,0.7,0.1,2.4,5,0,20.4
21,Rudy GayMEM,2009-2010,SF,80,39.7,19.6,7.5,16.1,46.6,0.8,2.5,32.7,3.8,5,75.3,5.9,1.9,1.5,0.8,2.1,8,0,16.3
22,Aaron BrooksHOU,2009-2010,G,82,35.6,19.6,7,16.2,43.2,2.5,6.4,39.8,3,3.6,82.2,2.6,5.3,0.8,0.2,2.8,6,0,16.04
23,Chauncey BillupsDEN,2009-2010,PG,73,34.1,19.5,5.5,13.2,41.8,2.2,5.6,38.6,6.4,7,91,3.1,5.6,1.1,0.1,2.4,4,0,20.25
24,Carlos BoozerUTAH,2009-2010,PF,78,34.3,19.5,7.9,14.1,56.2,0,0,0,3.7,4.9,74.2,11.2,3.2,1.1,0.5,2.7,55,0,21.42
25,David WestNO,2009-2010,F,81,36.4,19,7.6,15.1,50.5,0.1,0.3,25.9,3.7,4.2,86.6,7.5,3,0.9,0.7,2.1,21,0,18.99
26,Brook LopezNJ,2009-2010,C,82,36.9,18.8,6.9,13.8,49.9,0,0,0,5.1,6.2,81.7,8.6,2.3,0.7,1.7,2.5,33,0,20.11
27,Antawn JamisonWSH/CLE,2009-2010,PF,66,36.5,18.7,7.2,15.7,46.1,1.3,3.7,34.4,2.9,4.5,64.7,8.4,1.3,1.1,0.3,1.4,25,0,17.33
28,Chris PaulNO,2009-2010,PG,45,38,18.7,7,14.2,49.3,1.2,2.8,40.9,3.6,4.2,84.7,4.2,10.7,2.1,0.2,2.5,23,1,23.74
29,Deron WilliamsUTAH,2009-2010,PG,76,36.9,18.7,6.5,13.9,46.9,1.3,3.4,37.1,4.4,5.5,80.1,4,10.5,1.3,0.2,3.3,44,0,20.62
30,Chris KamanLAC,2009-2010,C,76,34.3,18.5,7.8,15.8,49,0,0.1,0,3,4,74.9,9.3,1.6,0.5,1.2,2.9,33,0,16.59
31,Dwight HowardORL,2009-2010,C,82,34.7,18.3,6.2,10.2,61.2,0,0.1,0,5.9,10,59.2,13.2,1.8,0.9,2.8,3.3,64,0,24.07
