rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Kevin DurantOKC,2011-2012,PF,66,38.6,28,9.7,19.7,49.6,2,5.2,38.7,6.5,7.6,86,8,3.5,1.3,1.2,3.8,18,0,26.26
2,Kobe BryantLAL,2011-2012,SF,58,38.5,27.9,9.9,23,43,1.5,4.9,30.3,6.6,7.8,84.5,5.4,4.6,1.2,0.3,3.5,3,0,21.95
3,LeBron JamesMIA,2011-2012,SF,62,37.5,27.1,10,18.9,53.1,0.9,2.4,36.2,6.2,8.1,77.1,7.9,6.2,1.9,0.8,3.4,23,0,30.8
4,Kevin LoveMIN,2011-2012,PF,55,39,26,8.6,19.3,44.8,1.9,5.1,37.2,6.9,8.4,82.4,13.3,2,0.9,0.5,2.3,48,0,25.41
5,Russell WestbrookOKC,2011-2012,PG,66,35.3,23.6,8.8,19.2,45.7,0.9,3,31.6,5.2,6.3,82.3,4.6,5.5,1.7,0.3,3.6,7,0,23
6,Carmelo AnthonyNY,2011-2012,PF,55,34.1,22.6,8,18.6,43,1.2,3.7,33.5,5.4,6.7,80.4,6.3,3.6,1.1,0.4,2.6,8,1,21.15
7,LaMarcus AldridgePOR,2011-2012,C,55,36.3,21.7,8.8,17.1,51.2,0,0.2,18.2,4.1,5,81.4,8,2.4,0.9,0.8,2,13,0,22.73
8,Dirk NowitzkiDAL,2011-2012,F,62,33.5,21.6,7.6,16.7,45.7,1.3,3.4,36.8,5.1,5.7,89.6,6.8,2.2,0.7,0.5,1.9,11,0,21.81
9,Deron WilliamsNJ,2011-2012,PG,55,36.3,21,7.1,17.5,40.7,2.1,6.2,33.6,4.7,5.5,84.3,3.3,8.7,1.2,0.4,4,22,0,20.34
10,Blake GriffinLAC,2011-2012,PF,66,36.2,20.7,8.5,15.5,54.9,0,0.2,12.5,3.7,7.1,52.1,10.9,3.2,0.8,0.7,2.3,41,0,23.5
11,Monta EllisMIL/GS,2011-2012,SG,58,36.6,20.4,7.8,17.9,43.3,1.1,3.5,30.8,3.8,4.7,79.6,3.4,6,1.5,0.3,3.1,5,0,17.53
12,David LeeGS,2011-2012,PF,57,37.2,20.1,8.1,16.2,50.3,0,0.1,0,3.8,4.9,78.2,9.6,2.8,0.9,0.4,2.6,27,1,19.81
13,Chris PaulLAC,2011-2012,PG,60,36.4,19.8,7.1,14.8,47.8,1.3,3.6,37.1,4.3,5,86.1,3.6,9.1,2.5,0.1,2.1,23,0,27.09
14,Paul PierceBOS,2011-2012,SF,61,34,19.4,6.5,14.6,44.3,1.6,4.5,36.6,4.8,5.6,85.2,5.2,4.5,1.1,0.4,2.8,6,0,19.69
15,Al JeffersonUTAH,2011-2012,C,61,34,19.2,8.5,17.2,49.2,0,0.1,25,2.2,2.9,77.4,9.6,2.2,0.8,1.7,1,31,0,22.88
16,Brandon JenningsMIL,2011-2012,G,66,35.3,19.1,7.1,17,41.8,2,5.9,33.2,2.9,3.6,80.8,3.4,5.5,1.6,0.3,2.2,6,0,18.46
17,Rudy GayMEM,2011-2012,SF,65,37.3,19,7.5,16.4,45.5,0.8,2.7,31.2,3.2,4,79.1,6.4,2.3,1.5,0.8,2.5,8,0,17.85
18,Joe JohnsonATL,2011-2012,G,60,35.5,18.8,7.1,15.5,45.4,2.1,5.4,38.8,2.6,3.1,84.9,3.7,3.9,0.8,0.2,1.9,0,0,18.5
19,Josh SmithATL,2011-2012,PF,66,35.3,18.8,7.6,16.7,45.8,0.4,1.7,25.7,3.1,4.9,63,9.6,3.9,1.4,1.7,2.5,28,0,21.14
20,Andrew BynumLAL,2011-2012,C,60,35.2,18.7,7.4,13.3,55.8,0,0.1,20,3.9,5.6,69.2,11.8,1.4,0.5,1.9,2.5,37,0,23
21,Danny GrangerIND,2011-2012,SF,62,33.3,18.7,6.3,15.2,41.6,2,5.2,38.1,4.1,4.7,87.3,5,1.8,1,0.6,1.8,0,0,18.68
22,Tony ParkerSA,2011-2012,G,60,32.1,18.3,7.1,14.8,48,0.2,1,23,3.8,4.7,79.9,2.9,7.7,1,0.1,2.6,12,0,22.04
23,DeMarcus CousinsSAC,2011-2012,C,64,30.5,18.1,7,15.6,44.8,0,0.2,14.3,4.1,5.8,70.2,11,1.6,1.5,1.2,2.7,36,0,21.72
24,Chris BoshMIA,2011-2012,PF,57,35.2,18,6.9,14.2,48.7,0.2,0.6,28.6,4,4.9,82.1,7.9,1.8,0.9,0.8,2.1,11,0,18.94
25,Pau GasolLAL,2011-2012,PF,65,37.4,17.4,7.1,14.1,50.1,0.1,0.4,25.9,3.1,4,78.2,10.4,3.7,0.6,1.4,2.2,42,1,20.51
26,Antawn JamisonCLE,2011-2012,PF,65,33.1,17.2,6.5,16.1,40.3,1.4,4.1,34.1,2.8,4.2,68.3,6.3,2,0.8,0.7,1.4,7,0,16.17
27,James HardenOKC,2011-2012,SG,62,31.4,16.8,5,10.1,49.1,1.8,4.7,39,5,6,84.6,4.1,3.7,1,0.2,2.2,0,0,21.13
28,DeMar DeRozanTOR,2011-2012,SF,63,35,16.7,6,14.3,42.2,0.4,1.5,26.1,4.3,5.3,81,3.3,2,0.8,0.3,2,0,0,12.87
29,Paul MillsapUTAH,2011-2012,PF,64,32.8,16.6,6.7,13.5,49.5,0.1,0.5,22.6,3.2,4,79.2,8.8,2.3,1.8,0.8,1.8,21,0,21.85
30,Tyreke EvansSAC,2011-2012,G,63,34.3,16.5,6.5,14.3,45.3,0.3,1.6,20.2,3.2,4.1,77.9,4.6,4.5,1.3,0.5,2.7,5,0,16.48
31,Ty LawsonDEN,2011-2012,G,61,34.8,16.4,6.1,12.6,48.8,1.2,3.3,36.5,2.9,3.5,82.4,3.7,6.6,1.3,0.1,2.4,11,0,19.43
32,John WallWSH,2011-2012,PG,66,36.2,16.3,5.7,13.5,42.3,0,0.6,7.1,4.8,6.1,78.9,4.5,8,1.4,0.9,3.9,16,0,17.77
33,Ryan AndersonORL,2011-2012,PF,61,32.2,16.1,5.4,12.4,43.9,2.7,6.9,39.3,2.5,2.8,87.7,7.7,0.9,0.8,0.4,0.9,14,0,21.23
34,Kevin GarnettBOS,2011-2012,PF,60,31.1,15.8,6.5,13,50.3,0.1,0.2,33.3,2.7,3.2,85.7,8.2,2.9,0.9,1,1.8,21,0,20.47
35,Luis ScolaHOU,2011-2012,F,66,31.3,15.5,6.6,13.5,49.1,0,0,0,2.3,3,77.3,6.5,2.1,0.5,0.4,2.3,11,0,15.5
36,Tim DuncanSA,2011-2012,C,58,28.2,15.4,6.2,12.6,49.3,0,0.1,0,3,4.3,69.5,9,2.3,0.7,1.5,1.7,22,0,22.6
37,Marcin GortatPHX,2011-2012,C,66,32,15.4,6.5,11.7,55.5,0,0,0,2.5,3.8,64.9,10,0.9,0.7,1.5,1.4,31,0,21.21
38,Greg MonroeDET,2011-2012,C,66,31.5,15.4,6.2,11.8,52.1,0,0,0,3,4.1,73.9,9.7,2.3,1.3,0.7,2.4,30,0,22.09
39,Arron AfflaloDEN,2011-2012,G,62,33.6,15.2,5.3,11.3,47.1,1.4,3.6,39.8,3.2,4,79.8,3.2,2.4,0.6,0.2,1.4,1,0,14.76
40,Jason TerryDAL,2011-2012,G,63,31.7,15.1,5.7,13.2,43,2.2,5.8,37.8,1.6,1.8,88.3,2.4,3.6,1.2,0.2,2,0,0,15.8
41,Carlos BoozerCHI,2011-2012,PF,66,29.5,15,6.8,12.8,53.2,0,0,0,1.4,2.1,69.3,8.5,1.9,1,0.4,1.7,18,0,19.79
42,Lou WilliamsPHI,2011-2012,SG,64,26.3,14.9,5,12.2,40.7,1.3,3.6,36.2,3.7,4.6,81.2,2.4,3.5,0.8,0.3,1.1,0,0,20.22
43,Jordan CrawfordWSH,2011-2012,G,64,27.4,14.7,5.5,13.6,40,1.2,4.3,28.9,2.5,3.2,79.3,2.6,3,0.9,0.1,2.2,0,0,14.61
44,Marc GasolMEM,2011-2012,C,65,36.5,14.6,5.5,11.4,48.2,0,0.2,8.3,3.6,4.9,74.8,8.9,3.1,1,1.9,1.9,24,0,18.41
45,Al HarringtonDEN,2011-2012,PF,64,27.5,14.2,5.4,12.1,44.6,1.6,4.7,33.3,1.9,2.8,67.6,6.1,1.4,0.9,0.2,1.8,9,0,15.39
46,Nick YoungLAC/WSH,2011-2012,G,62,27.9,14.2,5.1,12.6,40.3,1.7,4.5,36.5,2.3,2.7,85.2,2.1,0.9,0.7,0.3,1.3,0,0,12.93
47,Jamal CrawfordPOR,2011-2012,G,60,26.9,14,4.7,12.3,38.4,1.3,4.3,30.8,3.2,3.4,92.7,2,3.2,0.9,0.2,1.9,0,0,15.8
48,Nicolas BatumPOR,2011-2012,PF,59,30.4,13.9,4.9,10.9,45.1,1.8,4.6,39.1,2.3,2.7,83.6,4.6,1.4,1,1,1.5,2,0,17.32
49,Gerald WallacePOR/NJ,2011-2012,SF,58,35.8,13.8,4.9,10.9,45.4,0.8,2.6,30.7,3.1,3.9,80,6.7,2.8,1.5,0.6,1.9,9,0,15.98
50,Kris HumphriesNJ,2011-2012,PF,62,34.9,13.8,5.2,10.8,48.1,0,0,0,3.4,4.5,75.2,11,1.5,0.8,1.2,1.9,29,0,17.98
51,Wesley MatthewsPOR,2011-2012,SG,66,33.8,13.7,4.8,11.6,41.2,2,5.1,38.3,2.2,2.6,86,3.4,1.7,1.5,0.2,1.1,0,0,14.12
52,Jrue HolidayPHI,2011-2012,PG,65,33.8,13.5,5.5,12.8,43.2,1,2.6,38,1.4,1.8,78.3,3.3,4.5,1.6,0.3,2.1,1,0,14.74
53,Ersan IlyasovaMIL,2011-2012,PF,60,27.6,13,4.9,10,49.2,0.9,1.9,45.5,2.4,3.1,78.1,8.8,1.2,0.7,0.7,1.3,20,0,20.55
