rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Kevin DurantOKC,2013-2014,PF,81,38.5,32,10.5,20.8,50.3,2.4,6.1,39.1,8.7,9.9,87.3,7.4,5.5,1.3,0.7,3.5,27,3,29.9
2,Carmelo AnthonyNY,2013-2014,PF,77,38.7,27.4,9.6,21.3,45.2,2.2,5.4,40.2,6,7,84.8,8.1,3.1,1.2,0.7,2.6,22,0,24.5
3,LeBron JamesMIA,2013-2014,SF,77,37.7,27.1,10,17.6,56.7,1.5,4,37.9,5.7,7.6,75,6.9,6.4,1.6,0.3,3.5,12,1,29.4
4,Kevin LoveMIN,2013-2014,PF,77,36.3,26.1,8.4,18.5,45.7,2.5,6.6,37.6,6.8,8.2,82.1,12.5,4.4,0.8,0.5,2.5,65,3,26.97
5,James HardenHOU,2013-2014,SG,73,38,25.4,7.5,16.5,45.6,2.4,6.6,36.6,7.9,9.1,86.6,4.7,6.1,1.6,0.4,3.6,14,1,23.51
6,Blake GriffinLAC,2013-2014,PF,80,35.8,24.1,9,17,52.8,0.2,0.6,27.3,6,8.4,71.5,9.5,3.9,1.2,0.6,2.8,43,1,23.98
7,Stephen CurryGS,2013-2014,PG,78,36.5,24,8.4,17.7,47.1,3.3,7.9,42.4,3.9,4.5,88.5,4.3,8.5,1.6,0.2,3.8,28,4,24.13
8,LaMarcus AldridgePOR,2013-2014,C,69,36.2,23.2,9.4,20.6,45.8,0,0.2,20,4.3,5.2,82.2,11.1,2.6,0.9,1,1.8,40,0,21.84
9,DeMarcus CousinsSAC,2013-2014,C,71,32.4,22.7,8.3,16.8,49.6,0,0.1,0,6.1,8.4,72.6,11.7,2.9,1.5,1.3,3.5,53,0,26.18
10,DeMar DeRozanTOR,2013-2014,SF,79,38.2,22.7,7.6,17.8,42.9,0.8,2.7,30.5,6.6,8,82.4,4.3,4,1.1,0.4,2.2,2,0,18.42
11,Al JeffersonCHA,2013-2014,C,73,35,21.8,9.6,18.8,50.9,0,0.2,20,2.6,3.8,69,10.8,2.1,0.9,1.1,1.7,42,0,22.75
12,Russell WestbrookOKC,2013-2014,PG,46,30.7,21.8,7.5,17.2,43.7,1.5,4.7,31.8,5.3,6.4,82.6,5.7,6.9,1.9,0.2,3.8,11,2,24.74
13,Paul GeorgeIND,2013-2014,SG,80,36.2,21.7,7.2,17,42.4,2.3,6.3,36.4,5,5.8,86.4,6.8,3.5,1.9,0.3,2.8,12,1,20.16
14,Dirk NowitzkiDAL,2013-2014,F,80,32.9,21.7,7.9,15.9,49.7,1.6,4.1,39.8,4.2,4.7,89.9,6.2,2.7,0.9,0.6,1.5,6,0,23.68
15,Kyrie IrvingCLE,2013-2014,PG,71,35.2,20.8,7.5,17.4,43,1.7,4.8,35.8,4.1,4.8,86.1,3.6,6.1,1.5,0.3,2.7,7,1,20.14
16,Anthony DavisNO,2013-2014,PF,67,35.2,20.8,7.8,15,51.9,0,0.1,22.2,5.2,6.6,79.1,10,1.6,1.3,2.8,1.6,36,0,26.54
17,Brook LopezBKN,2013-2014,C,17,31.4,20.7,7.6,13.5,56.3,0,0.1,0,5.5,6.8,81.7,6,0.9,0.5,1.8,1.6,0,0,25.5
18,Damian LillardPOR,2013-2014,PG,82,35.8,20.7,6.7,15.9,42.4,2.7,6.8,39.4,4.5,5.2,87.1,3.5,5.6,0.8,0.3,2.4,6,0,18.69
19,Isaiah ThomasSAC,2013-2014,G,72,34.7,20.3,6.9,15.2,45.3,1.8,5.1,34.9,4.8,5.7,85,2.9,6.3,1.3,0.1,3,7,1,20.54
20,Goran DragicPHX,2013-2014,PG,76,35.1,20.3,7.3,14.4,50.5,1.6,3.9,40.8,4.2,5.5,76,3.2,5.9,1.4,0.3,2.8,7,0,21.43
21,Rudy GaySAC/TOR,2013-2014,SF,73,34.7,20,7.4,16.2,45.5,0.9,2.7,33,4.4,5.3,82.2,6,2.9,1.3,0.8,3.1,11,0,18.4
22,Ryan AndersonNO,2013-2014,PF,22,36.1,19.8,7,16.1,43.8,3,7.5,40.9,2.7,2.8,95.2,6.5,0.8,0.5,0.3,0.9,4,0,18.89
23,John WallWSH,2013-2014,PG,82,36.3,19.3,7.1,16.3,43.3,1.3,3.8,35.1,3.9,4.8,80.5,4.1,8.8,1.8,0.5,3.6,29,2,19.61
24,Chris PaulLAC,2013-2014,PG,62,35,19.1,6.5,14,46.7,1.3,3.4,36.8,4.8,5.6,85.5,4.3,10.7,2.5,0.1,2.3,39,0,25.98
25,Kevin MartinMIN,2013-2014,SG,68,32,19.1,6.5,15,43,1.7,4.4,38.7,4.5,5,89.1,3,1.8,1,0.1,1.6,1,0,16.37
26,Dwyane WadeMIA,2013-2014,G,54,32.9,19,7.7,14.1,54.5,0.2,0.6,28.1,3.5,4.8,73.3,4.5,4.7,1.5,0.5,3,4,0,22.06
