rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Stephen CurryGS,2020-2021,PG,63,34.2,32,10.4,21.7,48.2,5.3,12.7,42.1,5.7,6.3,91.6,5.5,5.8,1.2,0.1,3.4,8,0,26.37
2,Bradley BealWSH,2020-2021,SG,60,35.8,31.3,11.2,23,48.5,2.2,6.2,34.9,6.8,7.7,88.9,4.7,4.4,1.2,0.4,3.1,4,0,22.81
3,Damian LillardPOR,2020-2021,PG,67,35.8,28.8,9,19.9,45.1,4.1,10.5,39.1,6.7,7.2,92.8,4.2,7.5,0.9,0.3,3,16,0,25.65
4,Joel EmbiidPHI,2020-2021,C,51,31.1,28.5,9,17.6,51.3,1.1,3,37.7,9.2,10.7,85.9,10.6,2.8,1,1.4,3.1,31,0,30.32
5,Giannis AntetokounmpoMIL,2020-2021,PF,61,33,28.1,10.3,18,56.9,1.1,3.6,30.3,6.5,9.5,68.5,11,5.9,1.2,1.2,3.4,41,7,29.24
6,Luka DoncicDAL,2020-2021,PG,66,34.3,27.7,9.8,20.5,47.9,2.9,8.3,35,5.2,7.1,73,8,8.6,1,0.5,4.3,26,11,25.33
7,Zach LaVineCHI,2020-2021,SG,58,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,5,4.9,0.8,0.5,3.5,3,0,21.62
8,Zion WilliamsonNO,2020-2021,PF,61,33.2,27,10.4,17,61.1,0.2,0.6,29.4,6,8.7,69.8,7.2,3.7,0.9,0.6,2.7,14,0,27.17
9,Kevin DurantBKN,2020-2021,PF,35,33.1,26.9,9.3,17.2,53.7,2.4,5.4,45,6,6.8,88.2,7.1,5.6,0.7,1.3,3.4,12,0,26.44
10,Kyrie IrvingBKN,2020-2021,PG,54,34.9,26.9,10.2,20.1,50.6,2.8,7,40.2,3.7,4,92.2,4.8,6,1.4,0.7,2.4,8,0,24.51
