rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Allen IversonPHI,2004-2005,SG,75,42.3,30.7,10.3,24.2,42.4,1.4,4.5,30.8,8.7,10.5,83.5,4,7.9,2.4,0.1,4.6,24,0,23.27
2,Kobe BryantLAL,2004-2005,SF,66,40.7,27.6,8.7,20.1,43.3,2,5.9,33.9,8.2,10.1,81.6,5.9,6,1.3,0.8,4.1,18,5,23.33
3,LeBron JamesCLE,2004-2005,SF,80,42.4,27.2,9.9,21.1,47.2,1.4,3.9,35.1,6,8,75,7.4,7.2,2.2,0.7,3.3,25,4,25.74
4,Dirk NowitzkiDAL,2004-2005,F,78,38.7,26.1,8.5,18.5,45.9,1.2,2.9,39.9,7.9,9.1,86.9,9.7,3.1,1.2,1.5,2.3,37,0,26.14
5,Amar'e StoudemirePHX,2004-2005,C,80,36.1,26,9.3,16.7,55.9,0,0.2,18.8,7.3,9.9,73.3,8.9,1.6,1,1.6,2.4,27,0,26.71
6,Tracy McGradyHOU,2004-2005,SG,78,40.8,25.7,9.2,21.3,43.1,1.8,5.6,32.6,5.5,7.1,77.4,6.2,5.7,1.7,0.7,2.6,13,0,22.97
7,Gilbert ArenasWSH,2004-2005,PG,80,40.9,25.5,8.2,19,43.1,2.6,7,36.5,6.5,8,81.4,4.7,5.1,1.7,0.3,3,2,0,21.31
8,Metta World PeaceIND,2004-2005,SF,7,41.6,24.6,8.4,17,49.6,1,2.4,41.2,6.7,7.3,92.2,6.4,3.1,1.7,0.9,2.4,0,0,23.57
9,Vince CarterTOR/NJ,2004-2005,G,77,36.7,24.5,9,20,45.2,1.6,4.1,40.6,4.8,6,79.8,5.2,4.2,1.4,0.6,2.2,7,0,22.92
10,Jermaine O'NealIND,2004-2005,C,44,34.8,24.3,8.8,19.4,45.2,0,0.1,16.7,6.7,8.9,75.4,8.8,1.9,0.6,2,3,17,0,22.97
11,Dwyane WadeMIA,2004-2005,G,77,38.6,24.1,8.2,17.1,47.8,0.2,0.6,28.9,7.5,9.9,76.2,5.2,6.8,1.6,1.1,4.2,16,1,23.2
